order_id,customer_id,order_date,city,courier_partner,promised_date,delivery_date,order_status
O23,C239,2025-10-14 00:00:00,Indore,FastEx,2025-10-16 00:00:00,2025-10-17 00:00:00,Delivered
O24,C56,2025-11-03 00:00:00,Nagpur,ShipNow,2025-11-05 00:00:00,2025-11-05 00:00:00,Delivered
O25,C350,2025-11-22 00:00:00,Indore,FastEx,2025-11-24 00:00:00,2025-11-25 00:00:00,Delivered
O26,C107,2025-10-20 00:00:00,Pune,FastEx,2025-10-22 00:00:00,2025-10-24 00:00:00,Cancelled
O27,C319,2025-12-14 00:00:00,Mumbai,QuickShip,2025-12-18 00:00:00,2025-12-19 00:00:00,Delivered
O28,C48,2025-10-16 00:00:00,Indore,QuickShip,2025-10-19 00:00:00,2025-10-21 00:00:00,Delivered
O29,C61,2025-12-09 00:00:00,Nagpur,FastEx,2025-12-12 00:00:00,2025-12-14 00:00:00,Delivered
O30,C337,2025-11-25 00:00:00,Indore,FastEx,2025-11-27 00:00:00,2025-11-28 00:00:00,Delivered
O31,C26,2025-12-22 00:00:00,Mumbai,QuickShip,2025-12-24 00:00:00,2025-12-28 00:00:00,RTO
O32,C292,2025-11-27 00:00:00,Indore,ShipNow,2025-11-29 00:00:00,2025-12-01 00:00:00,Delivered
O33,C257,2025-10-04 00:00:00,Indore,FastEx,2025-10-08 00:00:00,2025-10-09 00:00:00,Delivered
O34,C8,2025-10-04 00:00:00,Mumbai,FastEx,2025-10-08 00:00:00,2025-10-08 00:00:00,Delivered
O35,C113,2025-10-20 00:00:00,Pune,QuickShip,2025-10-23 00:00:00,2025-10-25 00:00:00,Delivered
O36,C355,2025-10-10 00:00:00,Pune,FastEx,2025-10-12 00:00:00,2025-10-13 00:00:00,Delivered
O37,C253,2025-10-24 00:00:00,Mumbai,ShipNow,2025-10-26 00:00:00,2025-10-26 00:00:00,Delivered
O38,C180,2025-10-26 00:00:00,Indore,ShipNow,2025-10-28 00:00:00,2025-10-31 00:00:00,Delivered
O39,C207,2025-11-06 00:00:00,Mumbai,QuickShip,2025-11-08 00:00:00,2025-11-10 00:00:00,Delivered
O40,C303,2025-12-24 00:00:00,Pune,FastEx,2025-12-28 00:00:00,2025-12-30 00:00:00,Delivered
O41,C127,2025-11-23 00:00:00,Nagpur,ShipNow,2025-11-26 00:00:00,2025-11-26 00:00:00,Delivered
O42,C56,2025-10-21 00:00:00,Indore,QuickShip,2025-10-24 00:00:00,2025-10-29 00:00:00,RTO
O43,C214,2025-12-13 00:00:00,Pune,ShipNow,2025-12-17 00:00:00,2025-12-17 00:00:00,Delivered
O44,C14,2025-11-07 00:00:00,Indore,QuickShip,2025-11-09 00:00:00,2025-11-12 00:00:00,Delivered
O45,C28,2025-11-15 00:00:00,Mumbai,ShipNow,2025-11-18 00:00:00,2025-11-18 00:00:00,Delivered
O46,C78,2025-10-04 00:00:00,Nagpur,QuickShip,2025-10-07 00:00:00,2025-10-09 00:00:00,Delivered
O47,C216,2025-11-29 00:00:00,Mumbai,QuickShip,2025-12-03 00:00:00,2025-12-06 00:00:00,Cancelled
O48,C386,2025-11-26 00:00:00,Nagpur,ShipNow,2025-11-28 00:00:00,2025-11-28 00:00:00,Delivered
O49,C365,2025-11-14 00:00:00,Indore,QuickShip,2025-11-17 00:00:00,2025-11-18 00:00:00,Delivered
O50,C154,2025-10-20 00:00:00,Indore,QuickShip,2025-10-22 00:00:00,2025-10-26 00:00:00,RTO
O51,C14,2025-10-17 00:00:00,Mumbai,FastEx,2025-10-20 00:00:00,2025-10-21 00:00:00,Delivered
O52,C187,2025-12-10 00:00:00,Nagpur,QuickShip,2025-12-14 00:00:00,2025-12-18 00:00:00,RTO
O53,C312,2025-10-04 00:00:00,Nagpur,QuickShip,2025-10-06 00:00:00,2025-10-10 00:00:00,RTO
O54,C371,2025-10-14 00:00:00,Indore,FastEx,2025-10-18 00:00:00,2025-10-20 00:00:00,Delivered
O55,C7,2025-10-03 00:00:00,Mumbai,FastEx,2025-10-06 00:00:00,2025-10-06 00:00:00,Delivered
O56,C3,2025-12-27 00:00:00,Nagpur,QuickShip,2025-12-31 00:00:00,2026-01-03 00:00:00,Delivered
O57,C111,2025-12-19 00:00:00,Indore,ShipNow,2025-12-23 00:00:00,2025-12-23 00:00:00,Delivered
O58,C238,2025-11-27 00:00:00,Pune,QuickShip,2025-12-01 00:00:00,2025-12-04 00:00:00,Delivered
O59,C363,2025-11-24 00:00:00,Mumbai,FastEx,2025-11-27 00:00:00,2025-11-27 00:00:00,Cancelled
O60,C239,2025-10-04 00:00:00,Pune,QuickShip,2025-10-06 00:00:00,2025-10-08 00:00:00,Delivered
O61,C274,2025-10-24 00:00:00,Mumbai,FastEx,2025-10-28 00:00:00,2025-10-28 00:00:00,Cancelled
O62,C294,2025-11-03 00:00:00,Indore,QuickShip,2025-11-05 00:00:00,2025-11-09 00:00:00,RTO
O63,C227,2025-10-30 00:00:00,Nagpur,FastEx,2025-11-02 00:00:00,2025-11-02 00:00:00,Delivered
O64,C371,2025-12-21 00:00:00,Nagpur,FastEx,2025-12-23 00:00:00,2025-12-24 00:00:00,Cancelled
O65,C15,2025-10-19 00:00:00,Nagpur,FastEx,2025-10-23 00:00:00,2025-10-24 00:00:00,Delivered
O66,C192,2025-10-31 00:00:00,Mumbai,FastEx,2025-11-04 00:00:00,2025-11-04 00:00:00,Cancelled
O67,C119,2025-11-29 00:00:00,Indore,FastEx,2025-12-03 00:00:00,2025-12-05 00:00:00,Delivered
O68,C28,2025-11-29 00:00:00,Pune,FastEx,2025-12-03 00:00:00,2025-12-03 00:00:00,Delivered
O69,C202,2025-10-19 00:00:00,Indore,QuickShip,2025-10-23 00:00:00,2025-10-26 00:00:00,Cancelled
O70,C39,2025-11-18 00:00:00,Pune,QuickShip,2025-11-22 00:00:00,2025-11-23 00:00:00,Delivered
O71,C273,2025-12-02 00:00:00,Mumbai,FastEx,2025-12-05 00:00:00,2025-12-07 00:00:00,Delivered
O72,C231,2025-12-22 00:00:00,Mumbai,ShipNow,2025-12-25 00:00:00,2025-12-26 00:00:00,Delivered
O73,C86,2025-10-22 00:00:00,Pune,FastEx,2025-10-25 00:00:00,2025-10-27 00:00:00,Cancelled
O74,C126,2025-10-24 00:00:00,Pune,QuickShip,2025-10-26 00:00:00,2025-10-28 00:00:00,Delivered
O75,C300,2025-12-15 00:00:00,Pune,FastEx,2025-12-17 00:00:00,2025-12-18 00:00:00,Cancelled
O76,C25,2025-10-30 00:00:00,Indore,FastEx,2025-11-02 00:00:00,2025-11-03 00:00:00,Cancelled
O77,C145,2025-11-27 00:00:00,Pune,QuickShip,2025-11-29 00:00:00,2025-12-03 00:00:00,RTO
O78,C13,2025-10-31 00:00:00,Mumbai,QuickShip,2025-11-02 00:00:00,2025-11-03 00:00:00,Delivered
O79,C212,2025-12-03 00:00:00,Mumbai,ShipNow,2025-12-07 00:00:00,2025-12-07 00:00:00,Delivered
O80,C25,2025-10-19 00:00:00,Nagpur,QuickShip,2025-10-23 00:00:00,2025-10-24 00:00:00,Delivered
O81,C68,2025-11-17 00:00:00,Pune,ShipNow,2025-11-19 00:00:00,2025-11-19 00:00:00,Cancelled
O82,C394,2025-11-14 00:00:00,Indore,FastEx,2025-11-16 00:00:00,2025-11-16 00:00:00,Delivered
O83,C67,2025-11-24 00:00:00,Indore,FastEx,2025-11-27 00:00:00,2025-11-29 00:00:00,Delivered
O84,C233,2025-11-24 00:00:00,Indore,FastEx,2025-11-26 00:00:00,2025-11-29 00:00:00,Delivered
O85,C109,2025-10-18 00:00:00,Nagpur,FastEx,2025-10-22 00:00:00,2025-10-25 00:00:00,Delivered
O86,C146,2025-12-02 00:00:00,Mumbai,QuickShip,2025-12-04 00:00:00,2025-12-07 00:00:00,Delivered
O87,C111,2025-11-16 00:00:00,Indore,QuickShip,2025-11-19 00:00:00,2025-11-22 00:00:00,Delivered
O88,C228,2025-12-14 00:00:00,Mumbai,FastEx,2025-12-18 00:00:00,2025-12-20 00:00:00,Delivered
O89,C111,2025-11-26 00:00:00,Nagpur,ShipNow,2025-11-30 00:00:00,2025-12-03 00:00:00,Delivered
O90,C34,2025-11-14 00:00:00,Pune,ShipNow,2025-11-18 00:00:00,2025-11-18 00:00:00,Delivered
O91,C111,2025-11-02 00:00:00,Pune,FastEx,2025-11-06 00:00:00,2025-11-07 00:00:00,Delivered
O92,C264,2025-10-17 00:00:00,Pune,FastEx,2025-10-19 00:00:00,2025-10-21 00:00:00,Delivered
O93,C369,2025-12-09 00:00:00,Indore,FastEx,2025-12-12 00:00:00,2025-12-14 00:00:00,Delivered
O94,C236,2025-10-04 00:00:00,Pune,FastEx,2025-10-06 00:00:00,2025-10-08 00:00:00,Delivered
O95,C83,2025-10-20 00:00:00,Indore,FastEx,2025-10-22 00:00:00,2025-10-25 00:00:00,Delivered
O96,C42,2025-11-16 00:00:00,Nagpur,QuickShip,2025-11-20 00:00:00,2025-11-21 00:00:00,Delivered
O97,C101,2025-10-15 00:00:00,Nagpur,FastEx,2025-10-18 00:00:00,2025-10-19 00:00:00,Delivered
O98,C6,2025-12-09 00:00:00,Indore,FastEx,2025-12-13 00:00:00,2025-12-13 00:00:00,Delivered
O99,C180,2025-11-16 00:00:00,Mumbai,ShipNow,2025-11-18 00:00:00,2025-11-18 00:00:00,Delivered
O100,C282,2025-12-17 00:00:00,Pune,QuickShip,2025-12-19 00:00:00,2025-12-21 00:00:00,Delivered
O101,C320,2025-12-14 00:00:00,Pune,ShipNow,2025-12-18 00:00:00,2025-12-18 00:00:00,Delivered
O102,C226,2025-10-09 00:00:00,Pune,FastEx,2025-10-11 00:00:00,2025-10-13 00:00:00,Delivered
O103,C315,2025-12-29 00:00:00,Indore,FastEx,2025-12-31 00:00:00,2026-01-02 00:00:00,Delivered
O104,C365,2025-10-16 00:00:00,Nagpur,QuickShip,2025-10-20 00:00:00,2025-10-24 00:00:00,RTO
O105,C229,2025-12-08 00:00:00,Pune,FastEx,2025-12-10 00:00:00,2025-12-12 00:00:00,Delivered
O106,C377,2025-11-30 00:00:00,Nagpur,FastEx,2025-12-03 00:00:00,2025-12-06 00:00:00,Delivered
O107,C289,2025-10-10 00:00:00,Pune,QuickShip,2025-10-14 00:00:00,2025-10-16 00:00:00,Cancelled
O108,C150,2025-11-19 00:00:00,Pune,QuickShip,2025-11-22 00:00:00,2025-11-23 00:00:00,Delivered
O109,C277,2025-10-03 00:00:00,Indore,QuickShip,2025-10-05 00:00:00,2025-10-08 00:00:00,Delivered
O110,C198,2025-12-16 00:00:00,Mumbai,QuickShip,2025-12-18 00:00:00,2025-12-21 00:00:00,Cancelled
O111,C70,2025-12-09 00:00:00,Indore,QuickShip,2025-12-13 00:00:00,2025-12-15 00:00:00,Delivered
O112,C112,2025-12-20 00:00:00,Pune,FastEx,2025-12-22 00:00:00,2025-12-23 00:00:00,Delivered
O113,C4,2025-11-20 00:00:00,Pune,FastEx,2025-11-24 00:00:00,2025-11-24 00:00:00,Delivered
O114,C350,2025-10-19 00:00:00,Mumbai,FastEx,2025-10-23 00:00:00,2025-10-23 00:00:00,Delivered
O115,C331,2025-11-11 00:00:00,Nagpur,FastEx,2025-11-15 00:00:00,2025-11-15 00:00:00,Delivered
O116,C318,2025-11-04 00:00:00,Nagpur,ShipNow,2025-11-08 00:00:00,2025-11-09 00:00:00,Delivered
O117,C350,2025-11-15 00:00:00,Pune,QuickShip,2025-11-19 00:00:00,2025-11-20 00:00:00,Delivered
O118,C95,2025-10-26 00:00:00,Nagpur,QuickShip,2025-10-29 00:00:00,2025-10-31 00:00:00,Delivered
O119,C152,2025-12-08 00:00:00,Pune,FastEx,2025-12-12 00:00:00,2025-12-14 00:00:00,Cancelled
O120,C311,2025-12-03 00:00:00,Mumbai,FastEx,2025-12-06 00:00:00,2025-12-08 00:00:00,Delivered
O121,C137,2025-11-06 00:00:00,Mumbai,FastEx,2025-11-08 00:00:00,2025-11-09 00:00:00,Delivered
O122,C247,2025-12-23 00:00:00,Pune,FastEx,2025-12-27 00:00:00,2025-12-29 00:00:00,Delivered
O123,C387,2025-11-18 00:00:00,Mumbai,FastEx,2025-11-20 00:00:00,2025-11-22 00:00:00,Cancelled
O124,C243,2025-10-21 00:00:00,Indore,ShipNow,2025-10-25 00:00:00,2025-10-27 00:00:00,Delivered
O125,C31,2025-12-13 00:00:00,Indore,QuickShip,2025-12-16 00:00:00,2025-12-19 00:00:00,Delivered
O126,C40,2025-12-03 00:00:00,Mumbai,QuickShip,2025-12-06 00:00:00,2025-12-08 00:00:00,Delivered
O127,C229,2025-10-05 00:00:00,Pune,QuickShip,2025-10-08 00:00:00,2025-10-11 00:00:00,Delivered
O128,C36,2025-12-09 00:00:00,Pune,ShipNow,2025-12-11 00:00:00,2025-12-13 00:00:00,Delivered
O129,C223,2025-12-29 00:00:00,Mumbai,FastEx,2026-01-02 00:00:00,2026-01-04 00:00:00,Delivered
O130,C6,2025-10-04 00:00:00,Nagpur,FastEx,2025-10-06 00:00:00,2025-10-06 00:00:00,Delivered
O131,C322,2025-11-08 00:00:00,Indore,FastEx,2025-11-11 00:00:00,2025-11-11 00:00:00,Delivered
O132,C220,2025-11-04 00:00:00,Nagpur,ShipNow,2025-11-06 00:00:00,2025-11-07 00:00:00,Delivered
O133,C75,2025-10-01 00:00:00,Pune,ShipNow,2025-10-04 00:00:00,2025-10-05 00:00:00,Delivered
O134,C4,2025-10-24 00:00:00,Pune,FastEx,2025-10-27 00:00:00,2025-10-29 00:00:00,Delivered
O135,C335,2025-11-26 00:00:00,Nagpur,ShipNow,2025-11-29 00:00:00,2025-12-01 00:00:00,Delivered
O136,C134,2025-12-09 00:00:00,Mumbai,ShipNow,2025-12-13 00:00:00,2025-12-14 00:00:00,Delivered
O137,C118,2025-11-10 00:00:00,Nagpur,FastEx,2025-11-14 00:00:00,2025-11-16 00:00:00,Delivered
O138,C369,2025-11-23 00:00:00,Nagpur,FastEx,2025-11-26 00:00:00,2025-11-29 00:00:00,Delivered
O139,C94,2025-11-15 00:00:00,Indore,QuickShip,2025-11-17 00:00:00,2025-11-19 00:00:00,Delivered
O140,C62,2025-11-29 00:00:00,Indore,ShipNow,2025-12-01 00:00:00,2025-12-03 00:00:00,Delivered
O141,C194,2025-11-29 00:00:00,Nagpur,FastEx,2025-12-03 00:00:00,2025-12-05 00:00:00,Cancelled
O142,C335,2025-11-26 00:00:00,Nagpur,ShipNow,2025-11-29 00:00:00,2025-11-30 00:00:00,Cancelled
O143,C203,2025-10-31 00:00:00,Pune,FastEx,2025-11-02 00:00:00,2025-11-03 00:00:00,Delivered
O144,C392,2025-12-23 00:00:00,Indore,QuickShip,2025-12-26 00:00:00,2025-12-29 00:00:00,Cancelled
O145,C26,2025-10-24 00:00:00,Indore,QuickShip,2025-10-26 00:00:00,2025-10-28 00:00:00,Cancelled
O146,C173,2025-12-28 00:00:00,Pune,QuickShip,2026-01-01 00:00:00,2026-01-03 00:00:00,Delivered
O147,C300,2025-11-05 00:00:00,Mumbai,ShipNow,2025-11-08 00:00:00,2025-11-08 00:00:00,Delivered
O148,C133,2025-12-24 00:00:00,Indore,ShipNow,2025-12-27 00:00:00,2025-12-29 00:00:00,Delivered
O149,C326,2025-10-30 00:00:00,Indore,ShipNow,2025-11-01 00:00:00,2025-11-02 00:00:00,Delivered
O150,C118,2025-10-24 00:00:00,Mumbai,FastEx,2025-10-26 00:00:00,2025-10-28 00:00:00,Delivered
O151,C324,2025-10-30 00:00:00,Indore,QuickShip,2025-11-01 00:00:00,2025-11-02 00:00:00,Cancelled
O152,C275,2025-12-25 00:00:00,Indore,FastEx,2025-12-28 00:00:00,2025-12-29 00:00:00,Delivered
O153,C212,2025-10-07 00:00:00,Mumbai,QuickShip,2025-10-11 00:00:00,2025-10-13 00:00:00,Delivered
O154,C225,2025-11-04 00:00:00,Mumbai,QuickShip,2025-11-08 00:00:00,2025-11-11 00:00:00,Delivered
O155,C20,2025-11-24 00:00:00,Nagpur,QuickShip,2025-11-26 00:00:00,2025-11-29 00:00:00,Delivered
O156,C113,2025-10-14 00:00:00,Pune,QuickShip,2025-10-18 00:00:00,2025-10-22 00:00:00,RTO
O157,C140,2025-10-10 00:00:00,Pune,ShipNow,2025-10-12 00:00:00,2025-10-14 00:00:00,Delivered
O158,C47,2025-12-19 00:00:00,Mumbai,FastEx,2025-12-23 00:00:00,2025-12-23 00:00:00,Delivered
O159,C1,2025-10-16 00:00:00,Mumbai,QuickShip,2025-10-19 00:00:00,2025-10-23 00:00:00,RTO
O160,C90,2025-11-23 00:00:00,Indore,FastEx,2025-11-25 00:00:00,2025-11-28 00:00:00,Delivered
O161,C142,2025-12-28 00:00:00,Nagpur,FastEx,2026-01-01 00:00:00,2026-01-03 00:00:00,Delivered
O162,C320,2025-12-16 00:00:00,Nagpur,FastEx,2025-12-19 00:00:00,2025-12-20 00:00:00,Delivered
O163,C38,2025-12-09 00:00:00,Mumbai,ShipNow,2025-12-13 00:00:00,2025-12-15 00:00:00,Delivered
O164,C293,2025-11-13 00:00:00,Indore,ShipNow,2025-11-16 00:00:00,2025-11-17 00:00:00,Delivered
O165,C382,2025-12-12 00:00:00,Indore,ShipNow,2025-12-15 00:00:00,2025-12-16 00:00:00,Delivered
O166,C139,2025-11-14 00:00:00,Pune,ShipNow,2025-11-18 00:00:00,2025-11-19 00:00:00,Delivered
O167,C356,2025-11-25 00:00:00,Pune,FastEx,2025-11-29 00:00:00,2025-12-01 00:00:00,Delivered
O168,C333,2025-12-23 00:00:00,Indore,FastEx,2025-12-26 00:00:00,2025-12-28 00:00:00,Delivered
O169,C259,2025-12-21 00:00:00,Pune,QuickShip,2025-12-24 00:00:00,2025-12-26 00:00:00,Cancelled
O170,C161,2025-11-26 00:00:00,Mumbai,QuickShip,2025-11-29 00:00:00,2025-11-30 00:00:00,Delivered
O171,C390,2025-10-21 00:00:00,Indore,QuickShip,2025-10-23 00:00:00,2025-10-25 00:00:00,Delivered
O172,C178,2025-12-07 00:00:00,Pune,FastEx,2025-12-10 00:00:00,2025-12-12 00:00:00,Delivered
O173,C10,2025-11-19 00:00:00,Nagpur,QuickShip,2025-11-21 00:00:00,2025-11-25 00:00:00,RTO
O174,C261,2025-11-02 00:00:00,Indore,QuickShip,2025-11-05 00:00:00,2025-11-08 00:00:00,Delivered
O175,C138,2025-10-07 00:00:00,Indore,FastEx,2025-10-09 00:00:00,2025-10-10 00:00:00,Delivered
O176,C172,2025-12-09 00:00:00,Nagpur,QuickShip,2025-12-12 00:00:00,2025-12-15 00:00:00,Delivered
O177,C386,2025-10-15 00:00:00,Mumbai,QuickShip,2025-10-18 00:00:00,2025-10-21 00:00:00,Delivered
O178,C13,2025-12-21 00:00:00,Nagpur,QuickShip,2025-12-24 00:00:00,2025-12-28 00:00:00,RTO
O179,C168,2025-11-01 00:00:00,Indore,FastEx,2025-11-05 00:00:00,2025-11-07 00:00:00,Delivered
O180,C130,2025-12-14 00:00:00,Mumbai,QuickShip,2025-12-18 00:00:00,2025-12-20 00:00:00,Delivered
O181,C84,2025-10-20 00:00:00,Pune,FastEx,2025-10-23 00:00:00,2025-10-24 00:00:00,Delivered
O182,C321,2025-12-27 00:00:00,Pune,FastEx,2025-12-29 00:00:00,2025-12-29 00:00:00,Delivered
O183,C319,2025-10-15 00:00:00,Pune,ShipNow,2025-10-17 00:00:00,2025-10-17 00:00:00,Delivered
O184,C101,2025-11-17 00:00:00,Indore,QuickShip,2025-11-20 00:00:00,2025-11-24 00:00:00,RTO
O185,C329,2025-12-10 00:00:00,Nagpur,FastEx,2025-12-14 00:00:00,2025-12-15 00:00:00,Delivered
O186,C273,2025-10-21 00:00:00,Mumbai,QuickShip,2025-10-23 00:00:00,2025-10-24 00:00:00,Delivered
O187,C265,2025-11-11 00:00:00,Pune,QuickShip,2025-11-15 00:00:00,2025-11-16 00:00:00,Delivered
O188,C399,2025-10-26 00:00:00,Mumbai,ShipNow,2025-10-28 00:00:00,2025-10-28 00:00:00,Delivered
O189,C38,2025-10-14 00:00:00,Indore,QuickShip,2025-10-17 00:00:00,2025-10-19 00:00:00,Delivered
O190,C94,2025-11-26 00:00:00,Pune,QuickShip,2025-11-30 00:00:00,2025-12-03 00:00:00,Delivered
O191,C95,2025-11-06 00:00:00,Indore,QuickShip,2025-11-08 00:00:00,2025-11-11 00:00:00,Delivered
O192,C305,2025-11-27 00:00:00,Nagpur,FastEx,2025-11-30 00:00:00,2025-11-30 00:00:00,Cancelled
O193,C69,2025-10-21 00:00:00,Indore,FastEx,2025-10-24 00:00:00,2025-10-26 00:00:00,Delivered
O194,C318,2025-12-21 00:00:00,Indore,QuickShip,2025-12-24 00:00:00,2025-12-27 00:00:00,Delivered
O195,C236,2025-12-08 00:00:00,Nagpur,QuickShip,2025-12-12 00:00:00,2025-12-15 00:00:00,Delivered
O196,C334,2025-10-03 00:00:00,Mumbai,QuickShip,2025-10-07 00:00:00,2025-10-10 00:00:00,Cancelled
O197,C373,2025-12-26 00:00:00,Nagpur,FastEx,2025-12-29 00:00:00,2025-12-29 00:00:00,Delivered
O198,C376,2025-12-29 00:00:00,Nagpur,FastEx,2026-01-02 00:00:00,2026-01-02 00:00:00,Delivered
O199,C137,2025-11-06 00:00:00,Indore,QuickShip,2025-11-08 00:00:00,2025-11-12 00:00:00,RTO
O200,C76,2025-12-27 00:00:00,Mumbai,FastEx,2025-12-30 00:00:00,2025-12-31 00:00:00,Delivered
O201,C35,2025-11-18 00:00:00,Pune,QuickShip,2025-11-21 00:00:00,2025-11-24 00:00:00,Delivered
O202,C1,2025-10-19 00:00:00,Nagpur,FastEx,2025-10-23 00:00:00,2025-10-25 00:00:00,Delivered
O203,C296,2025-12-28 00:00:00,Mumbai,QuickShip,2025-12-31 00:00:00,2026-01-02 00:00:00,Delivered
O204,C320,2025-12-24 00:00:00,Nagpur,ShipNow,2025-12-26 00:00:00,2025-12-29 00:00:00,Delivered
O205,C60,2025-10-12 00:00:00,Nagpur,FastEx,2025-10-16 00:00:00,2025-10-18 00:00:00,Delivered
O206,C320,2025-11-30 00:00:00,Nagpur,QuickShip,2025-12-04 00:00:00,2025-12-05 00:00:00,Delivered
O207,C349,2025-11-10 00:00:00,Nagpur,FastEx,2025-11-13 00:00:00,2025-11-13 00:00:00,Cancelled
O208,C328,2025-11-02 00:00:00,Indore,QuickShip,2025-11-05 00:00:00,2025-11-09 00:00:00,RTO
O209,C267,2025-11-19 00:00:00,Mumbai,QuickShip,2025-11-22 00:00:00,2025-11-23 00:00:00,Delivered
O210,C361,2025-12-07 00:00:00,Mumbai,QuickShip,2025-12-11 00:00:00,2025-12-13 00:00:00,Cancelled
O211,C229,2025-12-10 00:00:00,Mumbai,QuickShip,2025-12-13 00:00:00,2025-12-15 00:00:00,Delivered
O212,C270,2025-12-25 00:00:00,Nagpur,ShipNow,2025-12-27 00:00:00,2025-12-30 00:00:00,Delivered
O213,C316,2025-11-02 00:00:00,Indore,FastEx,2025-11-05 00:00:00,2025-11-08 00:00:00,Cancelled
O214,C286,2025-12-20 00:00:00,Nagpur,FastEx,2025-12-23 00:00:00,2025-12-24 00:00:00,Delivered
O215,C291,2025-10-24 00:00:00,Nagpur,ShipNow,2025-10-28 00:00:00,2025-10-29 00:00:00,Delivered
O216,C213,2025-11-30 00:00:00,Mumbai,QuickShip,2025-12-03 00:00:00,2025-12-07 00:00:00,RTO
O217,C165,2025-11-30 00:00:00,Nagpur,ShipNow,2025-12-04 00:00:00,2025-12-06 00:00:00,Delivered
O218,C5,2025-10-28 00:00:00,Pune,QuickShip,2025-10-31 00:00:00,2025-11-02 00:00:00,Delivered
O219,C339,2025-11-27 00:00:00,Nagpur,ShipNow,2025-11-29 00:00:00,2025-11-30 00:00:00,Cancelled
O220,C379,2025-11-12 00:00:00,Pune,QuickShip,2025-11-14 00:00:00,2025-11-16 00:00:00,Delivered
O221,C78,2025-11-10 00:00:00,Nagpur,QuickShip,2025-11-14 00:00:00,2025-11-18 00:00:00,RTO
O222,C62,2025-11-08 00:00:00,Indore,ShipNow,2025-11-12 00:00:00,2025-11-12 00:00:00,Delivered
O223,C132,2025-12-25 00:00:00,Indore,QuickShip,2025-12-28 00:00:00,2025-12-29 00:00:00,Delivered
O224,C89,2025-11-18 00:00:00,Mumbai,FastEx,2025-11-21 00:00:00,2025-11-21 00:00:00,Delivered
O225,C237,2025-10-17 00:00:00,Nagpur,FastEx,2025-10-19 00:00:00,2025-10-20 00:00:00,Delivered
O226,C42,2025-12-09 00:00:00,Pune,FastEx,2025-12-12 00:00:00,2025-12-14 00:00:00,Delivered
O227,C89,2025-12-09 00:00:00,Pune,FastEx,2025-12-11 00:00:00,2025-12-13 00:00:00,Delivered
O228,C296,2025-12-04 00:00:00,Nagpur,FastEx,2025-12-08 00:00:00,2025-12-10 00:00:00,Delivered
O229,C328,2025-12-13 00:00:00,Pune,QuickShip,2025-12-16 00:00:00,2025-12-20 00:00:00,RTO
